OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date,x,y
387339,90154,14710,State / Independence,,33.95845,-118.21176,,,14710,,,,Null,,,,09-09-2024,-118.21176000021,33.9584500003034
631486,90269;90270;90271;90272;90273;90274;90275;90276;90278,2525664,92nd St & Maie Ave,,33.953366,-118.243808,,,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.243807999842,33.9533659997617
387007,90154,14143,Western / Florence,,33.974159,-118.309117,,,14143,,,,Null,,,,09-09-2024,-118.309116999624,33.9741589997101
390991,90154,80704S,Downtown Inglewood Station,,33.96715635,-118.3514966,,,80704S,1,,,Null,,,,09-09-2024,-118.351496599696,33.9671563500036
390588,90154,2319,Hawthorne / Lennox Station,,33.933451,-118.352446,,,2319,,,,Null,,,,09-09-2024,-118.352446000374,33.9334509998879
378920,90154,567,California / Tweedy,,33.94459,-118.20735,,,567,,,,Null,,,,09-09-2024,-118.2073499998,33.9445900002705
170654,90010,42,14150 Figueroa St,,33.903028,-118.282594,,,662123,,,,2,,,,09-09-2024,-118.282594000112,33.9030279997376
389331,90154,18023,St Stevens Serbian,,34.061321,-118.148233,,,18023,,,,Null,,,,09-09-2024,-118.148233000134,34.0613209996823
385750,90154,11958,Fair Oaks / Villa,,34.154256,-118.150688,,,11958,,,,Null,,,,09-09-2024,-118.150687999686,34.1542559996556
641565,99423,291,Chevy Chase at Mid Block (La Boice & Boynton),,34.133896,-118.246522,,,,Null,,,Null,,,,09-09-2024,-118.24652199986,34.1338960001882
380177,90154,2683,Inglewood / 147th,,33.897999,-118.361455,,,2683,,,,Null,,,,09-09-2024,-118.36145500044,33.8979989997195
388999,90154,17330,Rosecrans / Lemoli,,33.902055,-118.330664,,,17330,,,,Null,,,,09-09-2024,-118.330663999911,33.9020549996662
381837,90154,5255,Main / 139th,,33.906105,-118.273802,,,5255,,,,Null,,,,09-09-2024,-118.27380199978,33.9061050002502
384754,90154,10099,Eastern / Hauck,,34.05388,-118.172561,,,10099,,,,Null,,,,09-09-2024,-118.172561000386,34.0538800002951
385418,90154,11287,Marianna / Worth,,34.06265,-118.179258,,,11287,,,,Null,,,,09-09-2024,-118.179258000118,34.0626500000615
168662,90008,1614,OLYMPIC EB & BARRINGTON FS,11660 W OLYMPIC BLVD,34.034469,-118.44743,,,3058,,,,0,,,,09-09-2024,-118.447430000252,34.0344690002547
576704,90121,2090,Westwood Blvd & Lindbrook,,34.05955263,-118.4444377,,,2090,0,,,0,,,,09-09-2024,-118.444437700363,34.0595526302775
383165,90154,7273,3rd / Burnside,,34.070564,-118.355365,,,7273,,,,Null,,,,09-09-2024,-118.355365000431,34.0705640002641
387078,90154,14289,San Vicente / Sunset,,34.090446,-118.385426,,,14289,,,,Null,,,,09-09-2024,-118.385426000316,34.0904459999248
374936,90147,298950,Gower & Lexington (Northbound),,34.092743,-118.322219,,,2541,0,,,0,,,,09-09-2024,-118.322218999908,34.0927429998495
390920,90154,80413,Southwest Museum Station,,34.098243,-118.206712,,,80413,0,80413S,,Null,,,,09-09-2024,-118.206712000116,34.098242999768
376264,90147,433870,7th St & Hill St (Westbound),,34.04617,-118.254722,,,6115,0,,,0,,,,09-09-2024,-118.25472199964,34.0461700000379
386675,90154,13606,Hoover / Santa Monica Fwy,,34.036723,-118.284151,,,13606,,,,Null,,,,09-09-2024,-118.284150999688,34.0367229997334
381505,90154,4790,Venice / Saint Andrews,,34.0437,-118.311742,,,4790,,,,Null,,,,09-09-2024,-118.311741999954,34.0436999999896
384422,90154,9413,Crenshaw / Country Club,,34.053247,-118.323912,,,9413,,,,Null,,,,09-09-2024,-118.323911999927,34.0532470003076
167998,90008,391,WESTWOOD NB & OLYMPIC FS,2200 WESTWOOD BLVD & W OLYMPIC BLVD,34.044154,-118.431889,,,2149,,,,0,,,,09-09-2024,-118.43188900031,34.0441540002382
168330,90008,943,BUNDY SB & SANTA MONICA NS,1400 S BUNDY DR & SANTA MONICA BLVD,34.040561,-118.463394,,,2423,,,,0,,,,09-09-2024,-118.463393999794,34.0405609998037
386414,90154,13119,Alvarado / Maryland,,34.061469,-118.273812,,,13119,,,,Null,,,,09-09-2024,-118.273811999826,34.0614689999113
390659,90154,80122B,7th Street / Metro Center Station - 7th & Figueroa Entrance,,34.04936,-118.25966,,,80122B,2,80122S,,Null,,,,09-09-2024,-118.259660000129,34.0493600000038
385086,90154,10647,Cesar E Chavez / Gage,,34.040398,-118.184379,,,10647,,,,Null,,,,09-09-2024,-118.184379000007,34.0403980002355
104062,90041,4084,3rd/Gage,,34.033447,-118.184933,,,4084,0,,,0,,,,09-09-2024,-118.184933000026,34.0334469997801
377260,90147,6715957,Broadway & Venice Blvd,,34.034071,-118.263617,,,10403,0,,,0,,,,09-09-2024,-118.263616999904,34.034070999918
376928,90147,4896878,Traction Ave & Hewitt St,,34.045401,-118.236113,,,6171,0,,,0,,,,09-09-2024,-118.236112999677,34.0454010002701
